z_mm,angle_deg,x_mm,method,pressure_psl_db,audio_proxy_psl_db,pressure_p99_5_db,focus_error_mm,fwhm_x_mm,fwhm_y_mm,target_gain_vs_onaxis200_db,target_amp
1000,15,267.9491924311227,phase_only,-0.6046852061993229,-1.2093704123986457,-3.7948869311089704,6.0,76.2099190071265,71.16232662185695,-14.97582892000249,22.691637287832926
1000,15,267.9491924311227,rls_amp,-0.531783031286647,-1.063566062573294,-3.4910368493980415,6.0,78.67222592109258,75.20691711184946,-17.82917899135818,16.3379788472397
1500,0,0.0,phase_only,-0.48752220528660284,-0.9750444105732057,-3.814804491729517,4.242640687119285,102.83113502919888,102.83280108135186,-15.549779126702692,21.240675428216683
1500,0,0.0,rls_amp,-0.46649832303398053,-0.9329966460679611,-3.62225165612354,4.242640687119285,105.23196384454357,105.03084572991557,-18.403129198057087,15.293286308316011
1500,10,264.49047106269745,phase_only,-0.24756333678624565,-0.4951266735724913,-3.579062014464543,4.242640687119285,107.62851620776499,104.74727706056606,-16.826413697492534,18.337350836503035
1500,10,264.49047106269745,rls_amp,-0.22726173346167838,-0.45452346692335677,-3.3153442261359007,4.242640687119285,110.40117316730618,108.61538094498171,-19.679763768843724,13.202892602282184
1500,15,401.92378864668405,phase_only,-0.10161240272736417,-0.20322480545472835,-3.188066804598397,9.486832980505138,114.12946002559283,106.95570976553657,-18.46843802890079,15.17872796525143
1500,15,401.92378864668405,rls_amp,-0.07860621448498725,-0.1572124289699745,-2.972210661916028,9.486832980505138,117.7709895971667,113.44461114124275,-21.3217881002471,10.92868413498103
2000,0,0.0,phase_only,-0.2846453254297718,-0.5692906508595436,-3.6360299687831317,0.0,137.16313909887054,137.1655008203014,-18.032024661218525,15.960851096395658
2000,0,0.0,rls_amp,-0.2730575461902891,-0.5461150923805782,-3.4624818272433897,0.0,140.468250567374,140.19709249453228,-20.885374732566227,11.491812789404875
2000,10,352.65396141693,phase_only,-0.13649003416529115,-0.2729800683305823,-3.3765229433719153,6.0,143.71251056668882,139.27324530447623,-19.311576873772317,13.774582208998034
2000,10,352.65396141693,rls_amp,-0.12299510465315891,-0.24599020930631782,-3.1540185309239783,6.0,147.3350334007892,144.57029865779384,-22.16492694511574,9.917699190478587
2000,15,535.8983848622454,phase_only,-0.030047020927934428,-0.060094041855868856,-3.0832052665153236,12.0,152.31024810381132,142.03789308609655,-20.956989025519665,11.397453466314616
2000,15,535.8983848622454,rls_amp,-0.01387814575039668,-0.02775629150079336,-2.7962287957680654,12.0,157.21962815211822,150.39663699099526,-23.810339096856588,8.206166495746523
